EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
122415309,BAGS cards / Crayfd 31st Dec,S5 540m,31/12/2015 14:37,10673693,1. Vinnythestriker,0,11,1,1,1,1001,1,1001,0,0,0
122415427,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 12:12,522739,01-Feb,0,,1,1,1,1001,1,1001,0,0,0
122415450,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 14:08,522739,01-Feb,0,,1,1,1,1001,1,1001,0,0,0
122415450,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 14:08,3413630,01-Apr,0,,1,1,1,1001,1,1001,0,0,0
122415431,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 13:12,3413632,01-Jun,0,,1,1,1,1001,1,1001,0,0,0
122415359,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 14:57,3413632,01-Jun,0,,1,1,1,1001,1,1001,0,0,0
122415425,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 11:42,3413635,02-Apr,0,,1,1,1,1001,1,1001,0,0,0
122415361,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 15:38,3413637,02-Jun,0,,1,1,1,1001,1,1001,0,0,0
122415442,Forecast / Sund (FC) 31st Dec,Forecast,31/12/2015 12:32,3413637,02-Jun,0,,1,1,1,1001,1,1001,0,0,0
122415458,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 16:47,3413637,02-Jun,0,,1,1,1,1001,1,1001,0,0,0
122415439,Forecast / Sund (FC) 31st Dec,Forecast,31/12/2015 11:48,3413640,03-Apr,0,,1,1,1,1001,1,1001,0,0,0
122415360,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 15:17,3413640,03-Apr,0,,1,1,1,1001,1,1001,0,0,0
122415445,Forecast / Sund (FC) 31st Dec,Forecast,31/12/2015 13:19,3413642,03-Jun,0,,1,1,1,1001,1,1001,0,0,0
122415427,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 12:12,3413648,05-Jan,0,,1,1,1,1001,1,1001,0,0,0
122415425,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 11:42,3413648,05-Jan,0,,1,1,1,1001,1,1001,0,0,0
